LASTNAME;NAME;BIRTH_DATE;CODE_COUNTRY_NUM;CODE_PLAYER;HEIGHT
Ross; Clay;1974-06-22;798;391;1.84
al-Younis; Jihaad;1971-01-16;694;392;1.94
el-Ghazi; Umair;1976-03-12;372;393;1.84
Martinez; Christopher;1978-06-10;158;394;1.93
Angulo Martinez; Jose;1980-02-25;108;395;1.9
Moua; Vansh;1973-02-27;332;396;1.85
Harvey; Darren;1979-12-01;584;397;1.94
La; Stephen;1977-11-04;554;398;1.91
Montgomery; Joshua;1979-10-04;446;399;1.87
Craft; Nicco;1978-12-09;72;400;1.83
al-Abdulla; Mujahid;1983-01-08;659;401;1.84
al-Elbaz; Mahdi;1981-05-09;724;402;1.89
Mansanares; Tyler;1975-10-11;112;403;1.86
Garcia; Antonio;1979-11-14;528;404;1.97
Dodds; Dominic;1984-02-27;470;405;1.86
el-Hamidi; Maazin;1985-05-16;334;406;1.83
Gries; Ryan;1983-07-07;630;407;1.83
Steinert; Dallas;1972-03-30;480;408;1.84
Alarid; Pedro;1984-03-28;0;409;1.98
Kim; Alan;1982-03-14;328;410;1.81
Keller; Dejonte;1975-03-24;478;411;1.83
Caldwell; Michael;1977-11-21;796;412;1.86
Shashidhar; Asim;1975-10-23;768;413;1.82
Moimoi; Tyler;1974-10-10;744;414;1.86
Begaye; Isaac;1973-02-02;242;415;1.8
Cachola; Carlos;1980-05-11;316;416;1.92
Laouar; Bailey;1971-02-16;234;417;1.89
al-Rauf; Saood;1976-06-29;40;418;1.84
Washington; Brandon;1975-04-14;8;419;1.81
Mccabe; Boyd;1976-10-27;124;420;1.84
Sipanya; Hoang;1972-08-22;320;421;1.88
Romo; Francisco;1980-12-13;562;422;1.85
Vasquez; Kristoffer;1975-04-07;288;423;1.87
Coleman; John;1985-07-25;528;424;1.94
Faucett; Christian;1980-03-04;516;425;1.94
Murad; Darren;1973-07-26;188;426;1.85
Garcia; Earnie;1980-08-24;408;427;1.85
el-Ali; Silmi;1974-02-02;876;428;1.85
Summers; Donovan;1983-03-22;384;429;1.97
Brown; Caleb;1983-02-17;234;430;1.83
Stufflebean; Richard;1975-02-05;231;431;1.82
Leyerly; Kyle;1972-02-06;28;432;1.81
Irvin; Michael;1977-12-18;800;433;1.83
Johnson; Dakota;1972-08-28;454;434;1.82
Wolfchief; Isaac;1974-01-04;226;435;1.96
Horne; Alexander;1981-12-07;276;436;1.91
el-Hammoud; Abdul Maalik;1978-01-11;68;437;1.81
al-Fayad; Saami;1983-03-15;162;438;1.82
al-Mansouri; Jawaad;1979-09-06;674;439;1.83
Quilon; Benjamin;1985-12-25;376;440;1.9
Sharon; Myles;1979-06-05;226;441;1.94
el-Jamail; Muhaajir;1984-06-24;630;442;1.81
Garner; Cameron;1974-09-21;204;443;1.91
el-Rahmani; Shabaan;1977-09-30;4;444;1.93
Swiatek; Jacob;1978-03-14;356;445;1.92
Baker; Kahliem;1977-08-24;175;446;1.84
el-Jama; Abdur Rahmaan;1981-11-01;28;447;1.87
Carr; Jorge;1975-01-13;191;448;1.9
Pronteau; Brian;1978-10-30;320;449;1.86
Davis; Soryn;1978-12-24;380;450;1.87
Perry; Jared;1979-04-15;48;451;1.86
Saucedo-Robles; Demetris;1982-10-29;478;452;1.96
Plunkett-Eliott; Ammanuel;1984-09-11;686;453;1.92
el-Sinai; Haafil;1978-06-22;124;454;1.84
Falcone; Hai;1979-02-17;600;455;1.83
Chapman; Coyote-Cache;1980-08-23;262;456;1.82
Gaston; Keaton James;1979-11-30;528;457;1.84
Pauli; Evan;1973-02-27;442;458;1.93
Klimek; Sean;1973-04-27;320;459;1.94
Gonzales; Avram;1974-06-07;336;460;1.89
al-Kanan; Mu'taz;1977-11-24;48;461;1.86
al-Shahan; Shabaan;1977-07-21;430;462;1.89
Huang; Tyler;1974-09-06;804;463;1.84
Falkinburg; Justin;1977-12-29;132;464;1.86
Anderson; Rene;1971-07-25;818;465;1.9
Semin; Matthew;1972-08-10;583;466;1.84
Hawkins; Steven;1979-08-30;804;467;1.85
Pingrey; Weilun;1971-05-26;654;468;1.97
Mccowan; Treyvon;1980-03-27;535;469;1.88
Pradhan; Ulysses;1971-03-15;231;470;1.93
Tieu; Sanket;1982-06-03;86;471;1.81
Sullivan; William;1975-04-28;340;472;1.81
Wabeke; Pornporm;1974-01-25;144;473;1.97
Johnson; Mitchell;1973-06-25;585;474;1.97
Miknevicius; Richard;1972-08-22;583;475;1.89
Hernandez; Richard;1975-12-09;586;476;1.84
al-Nassif; Mu;1982-12-02;780;477;1.94
Kennedy; Prentiss;1981-06-13;191;478;1.91
Lugo Jr; Omar;1975-02-25;84;479;1.94
Aguilar; Ismael;1976-12-02;226;480;1.83
al-Hamady; Rabi;1975-08-22;254;481;1.81
Grimes; Samuel;1979-04-24;800;482;1.86
Frazier; Gerald;1976-11-02;438;483;1.95
Gustafson; Keith;1977-10-13;492;484;1.83
Brown; Brandon;1977-08-02;296;485;1.82
Chu; Phi;1974-04-25;688;486;1.86
Wilford; Kristopher;1978-11-28;520;487;1.89
Gonzalez; Alec;1978-05-05;232;488;1.95
Bates; Sebastian;1979-01-10;60;489;1.89
Swift Bird; Anfernee;1975-11-02;500;490;1.93
Monroe; Adam;1979-02-24;70;491;1.81
Merysca; Richard;1978-02-12;798;492;1.88
Feltz; Jeff;1983-12-02;372;493;1.87
al-Shaheen; Ilyaas;1976-08-12;705;494;1.98
Ortega-Aragon; Tyler;1973-04-24;492;495;1.92
Clevenger; Christopher;1981-11-07;214;496;1.92
Ruff; Yehosua;1973-08-06;233;497;1.97
Woten; Trysten;1979-01-06;166;498;1.97
Corro; Ignacio;1971-08-07;450;499;1.92
Park; Christopher;1978-12-16;268;500;1.85
Silbert; Christian;1981-09-12;162;501;1.81
Bolden; Devante;1983-09-07;807;502;1.89
Martinez; Brandon;1977-09-26;140;503;1.95
Jenkins; Dershon;1978-06-24;191;504;1.9
Avila; Daniel;1983-09-25;328;505;1.85
Rains; Haydin;1974-03-14;8;506;1.87
Mayek; Christofer;1975-06-18;703;507;1.86
Davick; Benjamin;1983-03-21;626;508;1.82
Palmer; Sage;1974-01-01;535;509;1.95
Haynes; Benjamin;1971-05-09;776;510;1.81
Kanakoqui; Jose;1981-05-21;705;511;1.85
Coleman-Isaac; Robert;1977-06-23;554;512;1.9
Joiner; Nicholas;1979-03-09;344;513;1.85
Kirkos; Tulani;1980-08-09;60;514;1.89
el-Ramadan; Jihaad;1983-01-09;316;515;1.86
al-Tabet; Aadil;1984-12-06;535;516;1.89
Wu; Montez;1984-06-07;520;517;1.9
Bennett; Sonim;1977-02-07;583;518;1.85
Foreman; De Vante;1975-06-05;112;519;1.84
Reuell; Ken;1973-05-19;422;520;1.93
Brodie; Bryce;1982-03-18;214;521;1.81
Ji; Daniel;1975-09-11;780;522;1.85
el-Sami; Safwaan;1981-02-07;678;523;1.89
Ba; Zachary;1981-03-24;570;524;1.92
Johnson; Curtis;1973-05-01;74;525;1.87
Edwards; Marquail;1981-06-13;620;526;1.98
al-Asad; Abdul Hai;1983-07-25;887;527;1.81
Keys; Eugene;1981-10-29;426;528;1.97
al-Salameh; Abdul Haleem;1983-06-27;574;529;1.82
Diller; Ryan;1982-12-06;124;530;1.86
al-Habibi; Aslam;1975-09-13;566;531;1.83
Padgett; Kyle;1973-09-10;410;532;1.8
Israel; Lucas;1983-09-10;796;533;1.86
Miller; Marcus;1971-10-30;604;534;1.94
Valdez; David;1984-06-09;136;535;1.83
Cohen; Michael;1983-06-26;16;536;1.94
Lapaz; Colton;1981-01-04;434;537;1.8
Hedin; Dominic;1985-05-24;258;538;1.83
Mahnken; Justin;1973-02-29;736;539;1.91
Gilman; Anthony;1985-09-26;292;540;1.88
Wallace; Kyle;1977-04-08;662;541;1.86
Landry; Farrell;1977-05-22;524;542;1.97
Khachatryan; Jeff;1975-10-26;204;543;1.95
Chen; Deon;1985-03-01;364;544;1.87
Johnson; Andrew;1982-10-24;659;545;1.91
Esquibel; Ronald;1983-08-25;703;546;1.86
Arrington; Thomas;1973-02-01;466;547;1.81
Lovato Medina; Jose;1981-04-01;804;548;1.91
Phillips-Thomas; Phillip;1978-09-23;196;549;1.87
el-Mansoor; Mamdooh;1971-05-11;64;550;1.96
Foster; Michael;1974-10-12;148;551;1.86
Green; Samuel;1983-05-26;332;552;1.86
el-Karam; Naaji;1981-01-02;242;553;1.83
el-Sala; Muhsin;1985-05-04;478;554;1.93
el-Mohammed; Nu'maan;1980-12-08;584;555;1.89
el-Hannan; Rayyaan;1972-05-01;500;556;1.94
Brown; James;1974-10-17;504;557;1.83
Waggoner; Brandon;1976-12-23;528;558;1.87
Rangel; Rudy;1981-05-10;732;559;1.88
Schneider; Nicholas;1979-04-14;108;560;1.83
Johns; Alexander;1979-04-19;620;561;1.87
el-Jafari; Shujaa;1979-02-01;638;562;1.97
Babcock; Matthew;1980-09-09;736;563;1.88
el-Baksh; Mahfooz;1985-06-29;788;564;1.91
Ortega; Zachery;1982-02-06;604;565;1.91
Ward; Stevon;1983-05-16;776;566;1.85
Schulz; Richard;1984-09-10;600;567;1.83
Sandoval; Alejandro;1980-11-09;233;568;1.88
Valentine; Jorge;1975-08-25;175;569;1.86
Molina; Adam;1974-01-03;862;570;1.97
Nash; Matthew;1972-10-25;184;571;1.83
Spore; Joshua;1971-11-08;12;572;1.8
Richards; Lorenzo;1978-12-13;262;573;1.93
Chaffee; Brandan;1976-04-28;51;574;1.95
el-Karimi; Zaki;1981-03-27;426;575;1.94
Li; Alan;1985-12-09;608;576;1.88
el-Salama; Kaamil;1982-10-08;68;577;1.96
Grimes; Charles;1979-06-25;800;578;1.96
West; Xavier;1981-09-15;404;579;1.8
Sherlock; David;1982-08-14;740;580;1.8
Pryor; William;1974-10-07;239;581;1.89
Stoehr; Lowell;1977-10-18;484;582;1.9
el-Salloum; Daif;1983-11-22;666;583;1.89
Ham; Terrance;1975-12-17;574;584;1.96
Ross; Gary;1979-05-12;20;585;1.94
Tafoya; Justin;1981-08-21;531;586;1.89
el-Mannan; Haashid;1971-12-10;795;587;1.95
al-Sesay; Saood;1974-08-27;480;588;1.81
Bedonie; Nicholas;1980-07-20;204;589;1.91
Pavlakis; Jesse;1984-10-05;678;590;1.97
Crocker; Masinde;1972-09-28;616;591;1.91
Choi; Aaron;1976-09-17;368;592;1.82
el-Naderi; Humaid;1983-01-19;690;593;1.92
el-Karimi; Shameem;1980-12-17;192;594;1.9
Van; Daniel;1981-05-27;716;595;1.96
Manley; Jaspreet;1973-11-30;239;596;1.93
Johnson; Monyindi;1979-05-26;710;597;1.95
Lennert; Jeong Min;1982-08-17;554;598;1.92
al-Kassem; Dhaakir;1974-04-21;620;599;1.96
Yamashita; Derek;1979-06-14;832;600;1.81
Yslas; Luis;1985-02-22;414;601;1.89
Juarez; Adam;1974-09-22;524;602;1.94
Leazer; Daniel;1973-11-20;780;603;1.82
Kline; Zachary;1973-11-23;716;604;1.9
Lowman; Dominique;1978-08-06;64;605;1.9
Womack; Anthony;1971-03-04;694;606;1.98
Aitken; Andrew;1985-01-04;388;607;1.86
Garrett; Craig;1978-12-21;682;608;1.97
Currington; Myron;1976-04-07;504;609;1.95
al-Kazmi; Ghassaan;1974-12-12;320;610;1.87
Madrid; Bryan;1974-04-09;858;611;1.82
Solomon; Christian;1985-07-08;148;612;1.96
Mead; Syed;1982-08-30;854;613;1.82
Overton; Diamond;1978-02-24;178;614;1.95
el-Bari; Khaalid;1982-05-20;534;615;1.82
Gallegos; Jonathan;1983-08-15;372;616;1.95
Gillespie; Dylan;1977-06-24;440;771;1.86
Jenkins; Brandon;1973-01-01;666;772;1.84
Joe; Coyote-Cache;1985-11-14;470;773;1.97
Harvey; Brandon;1974-07-25;535;774;1.96
Curry; Carlos;1973-11-18;203;775;1.8
Heideman; Blake;1985-09-04;752;776;1.96
Box; Byron;1971-09-01;300;777;1.83
Edmondson; Ricardo;1978-10-04;250;778;1.97
Dawlatzai; Eric;1975-06-18;31;779;1.98
Mackins; Kevin;1973-02-27;732;780;1.84
Kentris; Landon;1971-07-21;288;781;1.88
Begay; Daniel;1974-12-03;674;782;1.82
Thomas; Aaron;1984-10-18;756;783;1.97
el-Allee; Shakeel;1982-08-01;882;784;1.93
Cordova; Terry;1977-08-20;72;785;1.83
el-Tabatabai; Kanaan;1977-03-05;16;786;1.83
al-Haq; Shaaheen;1978-12-24;660;787;1.87
Black; Hudson;1981-02-24;772;788;1.98
Romero; Ramon;1984-11-16;858;789;1.82
Allen; John;1980-03-20;174;790;1.89
Staley; Jose;1974-03-15;100;791;1.98
Lucas; Cody;1972-01-21;12;792;1.81
Jones; Johnnie;1982-02-02;296;793;1.81
Martinez; Alejandro;1976-06-20;60;794;1.84
al-Soliman; Jafar;1982-01-07;818;795;1.82
Gurule; Teodoro;1971-08-13;882;796;1.82
Behbahani; Joseph;1972-12-16;166;797;1.92
el-Harroun; Aayid;1982-06-27;840;798;1.84
Kozak; Alan;1979-03-24;643;799;1.9
Nunna; Tyler;1981-07-28;533;800;1.98
Jones; Alexander;1975-05-13;760;801;1.85
Fisher; Jorge;1985-12-20;356;802;1.9
Christinson; Bradley;1971-09-25;478;803;1.83
Owens; Corbett;1981-01-10;434;804;1.92
Silva; Tilden;1978-09-13;116;805;1.93
Smith; Rashawn;1982-11-17;158;806;1.95
Perez; Arnold;1983-07-10;666;807;1.92
el-Yassin; Haitham;1980-11-11;0;808;1.89
Hamlin; Randal;1984-12-10;670;809;1.94
Wallis; Michael;1975-08-03;600;810;1.91
Montenegro; Brayan;1975-07-21;499;811;1.89
Xiong; Laosa;1981-09-09;492;812;1.96
Lane; Trevonte;1972-10-08;834;813;1.97
Meraz; Emmanuel;1971-06-28;492;814;1.95
Jackson; Cannon;1973-05-03;499;815;1.98
Moore; Christopher;1981-09-08;634;816;1.93
Hudson; Sullivan;1977-03-22;233;817;1.95
Martinez; Joseph;1975-04-02;466;818;1.97
Kim; David;1975-10-11;388;819;1.81
Archuleta; Raymond;1972-11-15;659;820;1.85
Keelick; Andrew;1979-06-23;736;821;1.85
Gutierrez; Diego;1979-06-27;710;822;1.81
Knaub; Shane;1972-11-12;762;823;1.88
Carr; Colton;1971-12-17;16;824;1.84
Amaya; Robert;1978-02-25;170;825;1.83
Canada; Tylen;1972-01-18;678;826;1.93
Greene; Tyler;1977-02-26;108;827;1.95
el-Qadir; Imraan;1972-04-13;548;828;1.92
Lopez; Angel;1977-10-15;450;829;1.8
Henderson; Elijah;1972-01-09;740;830;1.81
el-Taheri; Muslih;1979-08-23;222;831;1.95
Moffitt Lucas; Aaron;1982-01-18;504;832;1.93
Silas; Tyler;1975-02-23;499;833;1.92
Gomez; Fred;1984-11-28;24;834;1.81
Lansing; Austin;1979-08-30;300;835;1.93
al-Qasim; Faadi;1973-10-07;659;836;1.85
Campbell; Dyami;1978-09-14;192;837;1.83
Benusa; Jackson;1975-10-02;340;838;1.85
Dequiroz; John;1984-03-01;702;839;1.98
al-Abdelnour; Rayyaan;1980-01-08;586;840;1.95
Stafford; Torrence;1977-10-18;690;841;1.96
Medicine Bear; Luke;1984-08-26;724;842;1.89
Barron; Antonio;1975-05-23;474;843;1.9
Norris; Luke;1978-11-11;554;844;1.88
Minish; Nathan;1985-02-22;638;845;1.92
al-Ahmadi; Abdul Noor;1983-11-24;175;846;1.96
Mcredmond; Nehumi;1981-10-11;404;847;1.85
Keeter; Matthew;1980-04-17;654;848;1.92
Escudero; Aaron;1983-03-12;831;849;1.89
Julian-Ambrose; Jabril;1971-07-22;336;850;1.86
Lopez-Itomura; Jesse;1976-03-18;162;851;1.88
Lattimer; Dante;1976-10-25;504;852;1.91
Two Crow; Michael;1983-08-01;360;853;1.96
Crawleigh; Joshua;1982-07-16;670;854;1.94
Plummer; Donovon;1973-01-25;70;855;1.85
Fry; Samuel;1973-04-28;178;856;1.89
Harris; Alfred;1975-10-02;324;857;1.94
Hai; Aaron;1982-11-23;316;858;1.85
Tafoya; Michael;1979-02-23;694;859;1.82
el-Mohammad; Rushdi;1973-06-22;570;860;1.8
Little; Jerry;1976-08-08;462;861;1.85
Lavallais; Robert;1985-02-20;36;862;1.86
el-Jaber; Aasim;1983-04-22;178;863;1.94
al-Salman; Salmaan;1981-11-22;398;864;1.88
George; Darrell;1980-03-16;36;865;1.87
Garcia; Fernando;1982-02-09;417;866;1.92
Atayde; Oscar;1979-06-25;752;867;1.91
Abalos; Fernando;1979-02-12;764;868;1.83
Walters; Jeremiah;1973-11-05;702;869;1.93
Morrow; Davuntae;1975-08-23;450;870;1.91
Fabry; Lincoln;1973-09-11;876;871;1.91
Ordonez; Mauricio;1971-12-25;400;872;1.82
Mccoy; Lucas;1982-02-05;24;873;1.86
Arteaga; Donovan;1972-06-13;51;874;1.87
el-Nagi; Shaamikh;1979-01-21;535;875;1.89
Slaughter; Regal;1979-07-09;4;876;1.88
Tidwell; Joshua;1985-10-23;10;877;1.96
al-Mahmoud; Waatiq;1982-07-09;234;878;1.89
Luebbert; Cole;1982-10-10;554;879;1.83
Thomas; Jody;1978-03-13;254;880;1.97
Kim; David;1972-06-12;795;881;1.94
Pigford; Julian;1972-02-03;426;882;1.82
George; Jeffrey;1981-09-01;296;883;1.85
al-Abdella; Safar;1977-10-14;300;884;1.84
Yates; Dillon;1982-02-05;296;885;1.95
Jiang; John;1977-03-10;20;886;1.93
Few; Monval;1979-04-13;308;887;1.81
Molina; Devon;1978-09-20;612;888;1.98
al-Bari; Aadil;1971-12-25;558;889;1.84
Figueroa; Edgar;1978-07-06;132;890;1.94
Graves; Zachery;1978-11-09;250;891;1.95
Cave; Robert;1984-04-11;574;892;1.91
Harris; Charles;1973-01-04;854;893;1.91
Garner; Maximeno;1977-03-18;646;894;1.82
Prieto; Joshua;1975-01-19;833;895;1.88
Diaz; Stephen;1975-05-08;178;896;1.85
Dodson; Dylan;1981-02-18;858;897;1.82
Franklin; Joshua;1980-10-23;124;898;1.87
Sanders; Christopher;1981-09-25;242;899;1.81
Owings; Nathan;1976-12-04;574;900;1.91
Maes; Angel;1977-07-04;600;901;1.84
Rosa; Jesus;1976-10-08;348;902;1.88
Stokes; Preston;1977-06-28;246;903;1.94
Banks; Antonio;1985-04-10;566;904;1.97
Allen; Marcus;1985-04-12;191;905;1.86
Johnson; Alex;1971-07-15;233;906;1.87
Williams; Antonio;1973-03-20;226;907;1.9
el-Ashraf; Zaid;1973-03-07;624;908;1.92
Threatt; Jalond;1984-01-04;90;909;1.85
el-Kaiser; Burhaan;1981-01-19;674;910;1.84
Pucheril; Jea Goun;1977-03-15;616;911;1.91
Galvan; Jermaine;1979-07-09;566;912;1.9
Fish; Logan;1975-02-15;831;913;1.88
Desmarais; Talon;1981-01-03;716;914;1.91
Le; Sean;1975-12-01;76;915;1.96
Metcalfe; Javon;1984-07-20;710;916;1.93
Mares; Alec;1972-09-21;670;917;1.97
el-Mustafa; Asghar;1984-12-19;442;918;1.93
al-Abdo; Fateen;1985-01-27;583;919;1.89
Quezada; Justin;1979-12-04;132;920;1.9
Johnston; Brant;1979-02-05;440;921;1.81
Thao; Charles;1984-01-09;132;922;1.83
Hale; Claudio;1979-12-10;144;923;1.95
Escobedo-Gaspar; Garrett;1985-03-24;0;924;1.87
Jenkins; Abdinasir;1981-07-08;674;925;1.97
Pino; Trevor;1976-07-23;591;926;1.83
Gilbert; Kristopher;1975-05-16;72;927;1.98
el-Radwan; Humaid;1974-01-25;72;928;1.93
Nunn; Isaac;1972-02-07;340;929;1.87
Gonzalez; Cesar;1977-03-15;524;930;1.93
Hines; Jonah;1985-04-04;833;931;1.9
el-Mady; Taariq;1974-05-15;826;932;1.97
Cox; Lakota;1982-01-23;876;933;1.92
Choe; Michael;1973-01-18;72;934;1.84
Wilkins; Giniko;1985-09-19;418;935;1.95
al-Abdallah; Zuraara;1976-08-11;732;936;1.84
Vega; Trenton;1973-04-11;744;937;1.92
Mcpadden; Derek;1984-04-09;554;938;1.95
Morton; Jace;1974-01-05;728;939;1.81
al-Hashmi; Muneeb;1973-05-16;554;940;1.82
el-Jalali; Hamza;1973-09-05;260;941;1.97
Stallberg; Nathan;1983-10-22;36;942;1.81
al-Hasan; Fayyaad;1977-03-24;233;943;1.94
Barihe; Lilton;1978-12-28;292;944;1.82
Oronia; David;1973-04-27;191;945;1.95
al-Azer; Aadam;1976-02-22;312;946;1.91
al-Tawil; Hilmi;1973-11-29;466;947;1.87
Yan; Donovan;1982-05-19;854;948;1.81
Herrera; Daniel;1981-08-13;258;949;1.92
al-Halaby; Ruwaid;1974-03-20;795;950;1.89
Sanchez IV; Maxwell;1982-06-15;600;951;1.95
Ji; Va'Aahi;1976-12-30;887;952;1.82
Leer; Tanner;1975-02-07;232;953;1.82
Quidachay; Brandon;1985-02-01;275;954;1.93
el-Sarwar; Luqmaan;1982-01-27;724;955;1.81
Menon; Ryan;1971-11-19;292;956;1.96
Williams; Marcello;1976-09-09;417;957;1.9
Relph; Colton;1971-08-18;52;958;1.89
el-Hashim; Rabi;1972-10-08;583;959;1.8
Nevarez; John;1979-02-18;638;960;1.92
el-Moustafa; Maazin;1981-01-27;562;961;1.96
Hart; Brandon;1982-04-02;598;962;1.91
Otero; Amanual;1971-05-05;304;963;1.93
Ralpho; Matthew;1982-12-13;756;964;1.85
Tampubolon; Ken;1982-10-12;748;965;1.81
Morales Perez; Antonio;1976-11-07;50;966;1.86
Embry; Brendin;1974-04-29;70;967;1.96
Chang; Rafiullah;1974-05-09;756;968;1.82
Soto; David;1973-06-27;232;969;1.87
Geebro; Joseph;1982-07-26;894;970;1.83
Anderson; Bryant;1984-10-04;858;971;1.94
Garrett; Teon;1985-07-19;756;972;1.81
al-Mansour; Fahmi;1979-05-29;70;973;1.85
Ortega; Dominican;1980-05-16;652;974;1.86
Montes-Acosta; Alex;1973-04-30;660;975;1.97
Hosseini; Kurt;1975-12-30;736;976;1.91
Doria; Hunter;1973-11-18;694;977;1.82
Vasquez; Shawnte;1977-08-20;148;978;1.94
Faulkner; Anthony;1976-01-24;776;979;1.9
al-Younan; Awf;1981-08-27;96;980;1.82
Farmer; Cartrell;1984-08-09;246;981;1.81
Caotrieu; Ahnaf;1977-09-06;638;982;1.86
el-Sahli; Ilyaas;1971-01-29;152;983;1.86
Begay; John;1983-08-20;642;984;1.95
el-Pirani; Daamir;1985-05-05;508;985;1.81
Bovarnick; Joshua;1985-06-08;710;986;1.84
Wi; Holden;1980-12-18;732;987;1.97
Kurronen; Daniel;1984-04-09;716;988;1.82
Fischer; Ryan;1978-02-23;296;989;1.95
al-Saadeh; Abdus Salam;1977-05-18;578;990;1.92
Riser; Brandon;1982-05-13;643;991;1.8
Aleman; Rigoberto;1982-04-26;380;992;1.98
Cloud; Joshua;1983-10-25;531;993;1.87
Schmidt; Parker;1977-03-18;104;994;1.92
Price; John;1977-06-26;724;995;1.88
Garcia; Flavio;1974-08-29;792;996;1.94
Richy; Thomas;1978-07-01;682;997;1.86
Johnson; Phillip;1971-04-23;804;998;1.9
Billingsley; Deshawn;1971-04-08;862;999;1.97
Chavez; Aldo;1976-12-30;710;1000;1.9
Brough; Shawn;1976-12-11;740;1001;1.98
Winterling; Andrew;1976-02-23;548;1002;1.84
el-Kamel; Waseem;1982-09-23;598;1003;1.92
Mireles; Donovan;1973-06-07;570;1004;1.94
Martinez; Cody;1977-07-02;156;1005;1.92
Youngquist; Samuel;1976-05-09;480;1006;1.97
Pina; Andrew;1981-06-06;484;1007;1.8
Baliga; Gabriel;1982-03-07;248;1008;1.85
Baldino; Michael;1981-08-11;446;1009;1.81
Northup; Tyce;1981-05-16;238;1010;1.93
Miller; Stephen;1985-01-13;854;1011;1.94
Tapparo; Caleb;1973-08-17;454;1012;1.89
Allen; Joe;1980-01-18;804;1013;1.84
Smith; Jayden;1985-11-16;258;1014;1.94
Perez; Alejandro;1978-10-27;76;1015;1.95
Barela; Ramon;1982-01-08;70;1016;1.86
Siregar; Richard;1971-09-16;72;1017;1.81
Yang; Kevin;1977-05-14;112;1018;1.95
Herzberg; Jose;1983-07-21;528;1019;1.89
el-Farrah; Taamir;1974-08-05;231;1020;1.96
Percell; Pharo;1980-10-06;616;1021;1.93
Larkin; Dylan;1985-02-13;662;1022;1.89
Smith; Mikale;1984-11-27;52;1023;1.94
Mayer; Jason;1980-08-06;404;1024;1.94
Smith; Jordan;1984-02-19;260;1025;1.83
Darity; Alexander;1984-10-11;450;1026;1.96
Hurtado; Gustavo;1985-05-06;234;1027;1.95
Cruz; Jonathan;1984-01-26;643;1028;1.89
Torres De Los Santos; Kevin;1971-08-09;612;1029;1.82
Cade; Ryan;1981-05-13;384;1030;1.88
Sawyers; Devyn;1984-10-25;740;1031;1.82
Osborne; Derrick;1984-06-18;72;1032;1.88
Phanthavongsa; Ryan;1971-12-28;312;1033;1.86
Johnson; Jermal;1982-06-09;428;1034;1.89
Bui; Curtis;1983-08-23;408;1035;1.93
Hills; Karandeep;1982-08-15;60;1036;1.98
Yoh; Lucas;1973-08-16;894;1037;1.88
el-Din; Musheer;1983-07-15;8;1038;1.97
Knight; Nathen;1978-02-04;408;1039;1.91
el-Malik; Abyad;1973-02-14;90;1040;1.89
Tran; Brandon;1979-08-12;854;1041;1.95
Castano; Adrian;1978-06-22;100;1042;1.96
Moline; Derrick;1984-10-23;690;1043;1.95
Hanks; Skyler;1973-09-16;246;1044;1.86
al-Nawaz; Haaroon;1975-04-24;262;1045;1.86
Horton; Elijah;1982-10-28;292;1046;1.83
Barnes; Sean;1973-04-12;764;1047;1.88
Amin; Michaud;1979-01-14;533;1048;1.85
Luong; Daniel;1976-02-17;450;1049;1.82
al-Abad; Faaiq;1976-11-18;8;1050;1.82
Beard; Nyang;1980-10-17;414;1051;1.91
al-Jalil; Jalaal;1977-03-26;233;1052;1.8
Marquez; Edwin;1973-08-17;174;1053;1.91
Gordon; Armound;1978-04-19;208;1054;1.84
Alvarez; Cristian;1985-08-04;466;1055;1.82
Fuino; Joshua;1984-05-01;218;1056;1.92
Wilson; Julian;1975-12-09;400;1057;1.96
Colwell; Mark;1980-10-08;442;1058;1.97
al-Salman; Taariq;1983-07-13;531;1059;1.89
Cheung; Bryan;1985-02-24;166;1060;1.8
Cordero; Randal;1984-05-27;84;1061;1.86
Donnelly; Deshant;1983-07-27;548;1062;1.89
Tulley; Dylan;1975-03-14;430;1063;1.9
Myers; Ryan;1985-07-27;686;1064;1.87
Ho; Miromar;1976-01-08;724;1065;1.83
Cook; Joshua;1971-07-22;591;1066;1.92
Trujillo; Joseph;1982-07-18;818;1067;1.83
Bonstead; Adam;1985-01-11;204;1068;1.94
Plumber; James;1976-05-15;50;1069;1.95
al-Noor; Abdul Wadood;1981-02-23;458;1070;1.84
Robinson; Dylan;1974-05-28;384;1071;1.92
Young; Kyle;1980-04-08;312;1072;1.89
Mendoza; Kevin;1978-12-18;454;1073;1.94
Palmer; Chase;1982-05-11;356;1074;1.84
Dial; Brandon;1975-10-11;52;1075;1.94
Valdez; Richard;1982-08-16;74;1076;1.83
Tran; Munir;1978-02-24;531;1077;1.85
Cotonuts; Jonathan;1984-03-26;660;1078;1.85
Coleman; Yejoon Kevin;1972-05-02;124;1079;1.82
Kinloch; Kevin;1981-07-08;48;1080;1.82
Graham; Taylor;1978-07-19;690;1081;1.88
Hamen; Julian;1983-04-05;238;1082;1.93
Patterson; Savon;1976-08-12;784;1083;1.97
Gabel; Nathaniel;1974-06-05;768;1084;1.82
Borders; Noah;1975-07-12;792;1085;1.92
Pickruhn; Nathaniel;1985-11-16;116;1086;1.89
Tom; Richard;1983-10-30;705;1087;1.91
Yussufu; Benjamin;1976-02-30;175;1088;1.97
al-Amiri; Muneeb;1984-12-06;152;1089;1.87
